date,nav,shares_outstanding,total_net_assets
2025-10-07,41.524689,187450000,7783802965.33
2025-10-08,41.314874,187450000,7744473217.17
2025-10-09,41.135279,187450000,7710808100.56
2025-10-10,40.68717,188400000,7665462775.67
2025-10-13,40.885759,189400000,7743762794.2
2025-10-14,41.309165,189400000,7823955864.02
2025-10-15,41.892647,189400000,7934467410.19
2025-10-16,41.775022,187900000,7849526691.1
2025-10-17,42.035865,189150000,7951083828.65
2025-10-20,42.477162,188550000,8009068982.44
2025-10-21,42.345061,188150000,7967223169.38
2025-10-22,42.526207,188600000,8020442708.5
2025-10-23,42.490502,189550000,8054074627.51
2025-10-24,42.634832,189200000,8066510197.22
2025-10-27,42.732178,189200000,8084928042.04
2025-10-28,41.775994,189200000,7904018077.35
2025-10-29,40.634635,186450000,7576327700.36
2025-10-30,40.864969,187100000,7645835690.84
2025-10-31,40.881525,186900000,7640756974.49
2025-11-03,40.811044,185050000,7552083771.83
2025-11-04,40.939237,185750000,7604463363.99
2025-11-05,40.920077,184900000,7566122187.28
2025-11-06,40.717557,184150000,7498138144.21
2025-11-07,41.277673,183000000,7553814219.93
2025-11-10,41.228896,183250000,7555195116.77
2025-11-11,41.683232,182850000,7621778951.47
2025-11-12,41.367311,182850000,7564012842.33
2025-11-13,40.825135,182700000,7458752235.79
2025-11-14,40.940399,184100000,7537127460.6
2025-11-17,40.679886,183300000,7456623158.67
2025-11-18,40.820589,183300000,7482413884.93
2025-11-19,40.518847,182950000,7412923069.36
2025-11-20,40.363525,182950000,7384506965.09
2025-11-21,40.901607,182400000,7460453138.87
2025-11-24,40.958283,182550000,7476934648.22
2025-11-25,41.277224,182700000,7541348901.65
2025-11-26,41.47663,184000000,7631699835.44
2025-11-28,41.64975,181800000,7571924616.68
2025-12-01,41.074879,181800000,7467412916.27
2025-12-02,40.99933,181750000,7451628302.41
2025-12-03,41.076485,181250000,7445112929.87
2025-12-04,41.006103,180800000,7413903411.81
2025-12-05,40.993083,181050000,7421797709.54
